Order_Date,Full_Date,Numeric_Date,Event_Type,Event_Mag,Rel,SITE_NAME,POINT_X,POINT_Y,Damage,Damage_Val,Causalties_Val,EMS98_Value,EMS98_Num,MSK_Value,MSK_Num,Other_Intensity,Total_Bld,Damaged_Bld,Total_Pop,Casualties,Injuries,Description
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Hazor,35.56000000,33.01000000,3,Moderate,U,9,9.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM; GCT based on Yadin 1972, 113, 181; Dever 1992, 28; Knauf 2002 suggest a possible damage to Tel Hazor. AUS determine MMI = 10"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Hr,Tiberias - Southern Gate,29.75160000,33.67970000,3,Moderate,U,8-9,8.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"Though Jerusalem is not specifically mentioned, had there been a great earthquake (which we believe that occurred), Jerusalem was damaged. BM5 and AUS assign an intensity of VIII and IX, respectively. AM and GCT, based on Josephus and Nathan HaBavli, note that Jerusalem was hit in Ein-Rogel (landslides), the Temple, Valley of Hinnom (landslides) and perhaps Olive Mt."
19,c.760-750 BCE,-760.00000000,S,7.83000000,Hr,Jerusalem,35.23371042,31.77430227,3,Moderate,U,8-9,8.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"Though Jerusalem is not specifically mentioned, had there been a great earthquake (which we believe that occurred), Jerusalem was damaged. BM5 and AUS assign an intensity of VIII and IX, respectively. AM and GCT, based on Josephus and Nathan HaBavli, note that Jerusalem was hit in Ein-Rogel (landslides), the Temple, Valley of Hinnom (landslides) and perhaps Olive Mt."
19,c.760-750 BCE,-760.00000000,S,7.83000000,Hr,Judea (A),35.35000000,32.08000000,3,Moderate,U,8-9,8.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"The description in Amos 1.1, imply of event that was relatively massive to date or reference accordingly  the Amos's prophecy. The 6th century Zecharia and perhaps also Isaiah imply of probable event (AM)"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Kh. el-Asiq,35.64765205,32.78536381,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM following Dever 1992
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Lachish,34.84000000,31.56000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM is based on archaeological Remains of Ussishkin 1977, 5; Dever
1992, 35, n. 10; Herzog 2002, 97.
AUS determine MMI = 8"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Megiddo,35.10000000,32.50000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM based on Knauf 2002 suggest the earthquake might have damaged Megido. AM also suggests that this site is included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Samaria,35.29000000,32.42000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM notes that according to Crisler 2003; 2004, Samaria might have been damaged.
AUS determine MMI = 9"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel el-Hama,35.65000000,32.68000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM: Included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel el-Saiidiyeh,35.57000000,32.31000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM: Included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Arad,35.12000000,31.28000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM is based on archaeological Remains of Herzog and Singer 2002, 96–98; Singer-Avitz 2002, 162"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Bee'r Sheva,34.84040000,31.24470000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM is based on archaeological Remains of Herzog (2002).
AUS determine MMI = 8"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Mevorakh,34.96000000,32.03000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM after Mazar 1993: Included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Michal,34.80000000,32.14000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM after Mazar 1993: Included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Abu Hawan,35.55000000,32.82000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM is based on archaeological Remains of  Balensi 1980, 586;
Warren and Hankey 1989, 161, was damaged between 1125–1050 BC. AM also suggests that this site is included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel el-Mazar,35.35910000,32.52720000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM: Included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Qasila,34.80000000,32.11000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM is based on archaeological Remains of Dothan and Dunayevsky 1993;Mazar 1993, 298; Stern 1993, suggests that the site was damaged during the period 1100–1050 BC. AM also suggets that the site is included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Batash,34.89000000,31.81000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM: Included in the list of cities conquered by the Egyptians (pharaoh Sheshonk I) which might explain damage from a different source
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Olives Mt.,35.24405353,31.77460928,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"The Mount of Olives, east of Jerusalem, was split and form a valley. No apparent rupture was found but a landslide may have occurred (AM; GCT after Isaiah and Zecharia)."
19,c.760-750 BCE,-760.00000000,S,7.83000000,Mr,Qiryat Shemona-EEA (A),35.55000000,33.19000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Dated rockfalls (after KKW)
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Deir Alla,35.60000000,32.10000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM follows archaeoseismic data (Dever 1992, 35, n. 10; Lemaire 1997, 139=750; Knauf 2002) and suggest the location was damaged by an earthquake, probably the one mentioned in Amos. Although there is no historical support, we grant a moderate credibility degree to the archaeoseismic findings.
AUS determine MMI = 9"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Mr,Holy Mt./Temple,35.23555404,31.77788817,3,Moderate,U,8-9,8.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM & GCT following Josephus in his Antiquities of the Jews. Accordingly, the earthquake cause a crack in the Temple at Jerusalem. Also Nathan ha-Bavli (was writing in the middle of the second century AD) saying that at the time of the desecration of the temple by Uzziah, the temple split open and the fissure extended for twelve ‘miles’.
AUS determine MMI = 9"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Mr,Ein-Rogel,35.22000000,31.76000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM following Josephus in his Antiquities of the Jews. Accordingly, half of the mountain in the west broke off from the rest and slid 800 m up to the mountain on the east, spoiling the king’s gardens"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Mr,Ben Hinnom Valley (A),35.22640000,31.77100000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,GCT based on Josephus and Natan HaBavli note a possible landslide at the Valley of Hinnom
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tekoah,35.22930000,31.65230000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"Following the book of Amos 1.1 that lived in Tekoa. Considering the earthquake was well remembered and narrated, it probably caused also damge in Teqoa, home origin of Amos, although his prophecy was in Bethel (Amos 7.13)."
19,c.760-750 BCE,-760.00000000,S,7.83000000,Mr,Bethel,35.24130000,31.92270000,4,Heavy,U,8-9,8.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AUS cites Kelso 1968 and mention damage to Bethel after Amos 3. 14-15; 9.1 with linkage to the c.760-750 BCE. The prophecy of Amos was in Bethel (Amos 7.13)and thus it is resonable to assume Bethel was heavily damaged.
AUS determine MMI = 9"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Erany,34.77160000,31.60610000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AUS note of unspesidied damage that may be linked with this eathquake.
AUS determine MMI = 8"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Tel Judeidah,34.91660000,31.63330000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AUS after Gibson 1994 suggest a damage to Tel Judeideh. The later is close to Lachish and thus had Lachish was damaged, surely it occurred in Tel Judeideh as well
AUS determine MMI = 8"
19,c.760-750 BCE,-760.00000000,S,7.83000000,Dr,Ein Hatseva,35.24000000,30.80000000,3,Moderate,U,7,7.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AUS mention damage to En Hazeva (after Cohen and Yisrael, 1995).
AUS determine MMI = 7"
20,590 BCE,-590.00000000,S,NULL,U,Tyre,35.21000000,33.26000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"TODO - get the reference

No report of damage"
21,525 BCE,-525.00000000,S,NULL,Mr,Ein-Gedi,35.39000000,31.46000000,3,Moderate,U,8-9,8.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,MIG and KAG have correlated seismites with this earthquake. Most likely damage was present in the close vicinity
21,525 BCE,-525.00000000,S,NULL,Dr,Tyre,35.21000000,33.26000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Following SDM
21,525 BCE,-525.00000000,S,NULL,Dr,Sidon,35.37000000,33.56000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Following SDM
22,338-213 BCE,-338.00000000,U,NULL,Mr,Arava (A),35.26000000,30.70000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,KLA dates and event which probably caused considerable damage in the Arava area
22,338-213 BCE,-338.00000000,U,NULL,Dr,Aqaba,35.00000000,29.52000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Shaked et al 2011 date two successive down-faulting events which may be associated with this event. Thus Aqaba may have been hit as well
23,331 BCE,-331.00000000,S,NULL,U,Unspecified,35.92000000,33.29000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"TODO - get the reference

No report of damage"
24,222 BCE,-222.00000000,U,NULL,U,Unspecified,35.92000000,33.29000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"TODO - get the reference

Event probably generated outsite DST region"
24,222 BCE,-222.00000000,U,NULL,Dr,Unspecified,35.92000000,33.29000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,TODO - delete
25,c.198 BCE,-198.00000000,U,NULL,Mr,Qiryat Shemona-EEA (A),35.55000000,33.19000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,KKW note rockfalls after this event in northen Palestine.
25,c.198 BCE,-198.00000000,U,NULL,Mr,Unspecified,35.92000000,33.29000000,5,Severe,U,10,10.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"A series of earthquakes destroyed a town further inland from Sidon, which is not named (AM and GCT following Posidonius): ""As a result of an earthquake in Phoenicia, a city above Sidon was swallowed up"""
25,c.198 BCE,-198.00000000,U,NULL,Hr,Phoenicia (A),35.37000000,33.42000000,5,Severe,U,10,10.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM and GCT (p. 145) after Posidonius: ""As a result of an earthquake in Phoenicia..."". The earthuqkae is reported to damage Sidon so it is resonable to assume other locations in Phoenicia (Present day Lebanon) were damaged as well"
25,c.198 BCE,-198.00000000,U,NULL,Hr,Sidon,35.37000000,33.56000000,4,Heavy,"Few casualties

",10-11,10.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"TODO - where is the reference of landslides?

GCT (p. 145) after Posidonius: ""As a result of an earthquake in Phoenicia, a city above Sidon was swallowed up, and almost two-thirds of Sidon itself collapsed, but the number of victims was limited, because it did not happen in a single shock"""
25,c.198 BCE,-198.00000000,U,NULL,Hr,Syria (A),37.03000000,34.93000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"GCT (p. 145) after Posidonius: ""The same disaster struck the whole of Syria, but with moderate intensity"".
The intensity of the earthquake seems to be lower than in Lebanon (Phoenicia)"
26,148 Feb 21 (130?) BCE,-148.00000000,S,NULL,Dr,Antakya,36.16000000,36.20000000,4,Heavy,U,9-10,9.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM and GCT are basin on Malalas which in turn, is based on Domninus. AM (p. 95) doubts the report and suggests that it ""might originally have been the defeat of Antiochus VII, which, with its loss of life, would have affected the city almost as heavily as an earthquake"""
26,148 Feb 21 (130?) BCE,-148.00000000,S,NULL,Dr,Palestine (A),35.20000000,32.39000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,TDOO - get the reference for this report
27,142 BCE,-142.00000000,S,NULL,Mr,Tel Ateret,35.62773538,33.00463080,4,Heavy,U,10-11,10.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Following excavations in Tel Ateret by EMK
28,139 BCE,-139.00000000,S,NULL,Dr,Akko,35.07000000,32.92000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM (p.95) questions the report of Starbo
28,139 BCE,-139.00000000,S,NULL,Pr,Sidon,35.37000000,33.56000000,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM (p.95) questions the report of Starbo
29,92 Feb 28 BCE,-92.00000000,S,NULL,Dr,Tiberias - Southern Gate,29.75160000,33.67970000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM (p.96) and KA2 question the entry in BM5 concerning the reliability of this event and elaborate the sequence of sources leading to a potential spurious event.
29,92 Feb 28 BCE,-92.00000000,S,NULL,Dr,Jerusalem,35.23371042,31.77430227,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM (p.96) and KA2 question the entry in BM5 concerning the reliability of this event and elaborate the sequence of sources leading to a potential spurious event.
29,92 Feb 28 BCE,-92.00000000,S,NULL,Dr,East Mediterranean (A),34.12000000,34.07000000,-1,U,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM (p.96) and KA2 question the entry in BM5 concerning the reliability of this event and elaborate the sequence of sources leading to a potential spurious event.
29,92 Feb 28 BCE,-92.00000000,S,NULL,Dr,Syria (A),37.03000000,34.93000000,1,Felt,U,5-6,5.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM (p.96) and KA2 question the entry in BM5 concerning the reliability of this event and elaborate the sequence of sources leading to a potential spurious event.
29,92 Feb 28 BCE,-92.00000000,S,NULL,Dr,Palestine (A),35.20000000,32.39000000,1,Felt,U,5-6,5.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM (p.96) and KA2 question the entry in BM5 concerning the reliability of this event and elaborate the sequence of sources leading to a potential spurious event.
30,c.65 BCE,-65.00000000,S,NULL,Dr,Tiberias - Southern Gate,29.75160000,33.67970000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM ollowing the Babylonian Talmud. Baba Kama: ""earthquake struck Israel and the land trembled a hundred miles in all directions"". KA2 questions and event that hit Jerusalem"
30,c.65 BCE,-65.00000000,S,NULL,Dr,Jerusalem,35.23371042,31.77430227,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM ollowing the Babylonian Talmud. Baba Kama: ""earthquake struck Israel and the land trembled a hundred miles in all directions"". KA2 questions and event that hit Jerusalem"
30,c.65 BCE,-65.00000000,S,NULL,Dr,Unspecified,35.92000000,33.29000000,4,Heavy,U,10,10.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Doubtful damage in Crimea. Both GCT and AM questions the report of Orosius.
30,c.65 BCE,-65.00000000,S,NULL,Mr,Antakya,36.16000000,36.20000000,5,Severe,Many casualties,9-10,9.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,GCT after Malalas sugget the Senat building has collapsed
30,c.65 BCE,-65.00000000,S,NULL,Hr,Syria (A),37.03000000,34.93000000,5,Severe,Many casualties,11,11.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,170000,NULL,GCT (p. 162) and AM (p. 96) following Justin (3rd century CE): many Syrian cities were destroyed.
30,c.65 BCE,-65.00000000,S,NULL,Dr,Tel Sukas,35.93000000,35.30000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,AM following Riis 1970; Lund 1986; Assaf 1997
31,Post Hellenistic period,-60.00000000,U,NULL,Dr,Tel Ateret,35.62773538,33.00463080,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,EMK dates damage to Ateret by post-Hellenic period which may indicate damge from one of the already known earthquakes
32,44-32 BCE,-44.00000000,S,NULL,Dr,Lod,34.90000000,31.95000000,4,Heavy,U,9,9.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM: Since one edition of one of the late sources has a very similar earthquake for ‘Salamis in Cyprus (in the district) of Syria’, confusing Salamis with the Paphos earthquake of 17–15 BC, it is likely that this record for Palestine is the result of confusing the Palestine (31 BC) and Cyprus (17–15 BC) earthquakes"
34,31 early spring BCE,-31.00000000,S,6.70000000,Hr,Judea (A),35.35000000,32.08000000,4,Heavy,Many casualties,10,10.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,30000,NULL,"GCT (p. 173-174) based on Josephus suggest a strong earthquake with many casualties in Judea. However, the 30000 casualtiles according to Josephus seems to be exagarated"
34,31 early spring BCE,-31.00000000,S,6.70000000,Dr,Jericho,35.46264709,31.86013890,0,None,U,U,-1.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM following RH disscussesa fault scarp showing a 3.5-m throw near
Hisham’s Palace at Jericho and at Deir Hajla, which is midway between Jericho and the Dead Sea (Reches and
Hoexter 1981; Amiran et al. 1994; Nur and Ron 1996). They thought it might have been associated with the
31BC earthquake mentioned by Josephus. However, a fault break with a 3.5-m throw corresponds to a catastrophic earthquake that Jericho, Jerusalem and other urban centres could not have survived"
34,31 early spring BCE,-31.00000000,S,6.70000000,Dr,Qatana,36.08000000,33.43000000,1,Felt,No casualties,6,6.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,Following AM: the lack of damage and casualties is probably because the Nabateans were camping in the open.
34,31 early spring BCE,-31.00000000,S,6.70000000,Dr,Lod,34.90000000,31.95000000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,The damage to Lod (Salamis; Diospolis) is doubtful and can be a mere misinterpretation with salamis in Cyprus (and the 15-17 cyprus earthquake)
34,31 early spring BCE,-31.00000000,S,6.70000000,Dr,Qumran,35.45000000,31.74000000,3,Moderate,U,8-9,8.50000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"Following NURO and AM: ‘. . . this
earthquake destroyed the building and ruptured the water supply of the monastery of the Essene at Qumran, 22 km east of Jerusalem, which probably forced the inhabitants
to abandon the town for several decades. They add that the 2,000 year-old fault rupture in the stairs of the cistern appears as fresh as if it had happened yesterday . . .’"
34,31 early spring BCE,-31.00000000,S,6.70000000,Dr,Salem,35.54940000,31.83750000,3,Moderate,U,8,8.00000000,U,-1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,"AM questions the damage to Salim of John (Salem, Salamis, Salumias) on the Jordan banks."
